"资讯ID","资讯标题","分类(以|分割)","关键词(以,分割)"
"33942","输入病例系偷渡入境！云南边境地区进入战时状态","公共安全",
"33943","女子喝5.5瓶大瓶装矿泉水，抢救4小时！","居家安全",
"33944","我省加强建设工程和城镇燃气安全防范工作","监管监察",
"33945","高校凌晨3点突发火灾，学生集体穿睡衣出逃","校园安全|消防安全",
"33946","带孩子乘地铁，当心这些安全隐患","交通安全",
"33947","10大致命违章作业行为排行榜，都是血的教训！",,
"33948","应急科普丨不要让宿舍起火冲淡了开学的喜悦，宿舍安全隐患需重视！",,
"33949","45名公职人员被追责问责！无锡致36死交通事故调查结果公布",,
"33950","应急科普丨预防森林火灾 这些防范知识你一定要知道！",,
"33951","【深圳市分区暴雨黄色预警】2020年09月15日12：15发布","防灾减灾",
"33952","【深圳市分区暴雨黄色预警升级为橙色】2020年09月15日13：50发布","防灾减灾",
"33954","【深圳市分区暴雨红色预警】2020年09月15日14：15发布","防灾减灾",
"33956","应急管理部关于废止《安全生产行业标准管理规定》等四部规章的决定",,
"33964","应急科普｜秋季来临，安全生产工作中这些问题应注意！",,
"33968","宝安区开展“广东省森林防火宣传月”活动",,
"33969","拖拉机驾车失控，“回马枪”撞上后方小车","交通安全",
"33972","街边快充存在安全隐患，一电动车充电时爆炸","消防安全",
"33974","深圳市宝安区2020年度森林消防队伍业务培训（第一期）正式开班",,
"33983","市应急管理局到我局开展“安全生产执法质量年”活动以及企业主要负责人履职情况专项执法专题督导检查",,
"33987","宝安区组织参加全市安全生产紧急视频会议",,
"33989","宝安人“五要五不要”  不要损害花草树木（宝安区文明办出品）",,
"33991","宝安人“五要五不要” 不要闯红灯（宝安区文明办出品）",,
"33994","预警！深圳红暴生效中，警惕强降雨和台风……",,
"33995","应急小哥哥干货什锦 | 车子掉水里的逃生方法",,
"33996","【深圳市取消分区暴雨预警】2020年09月15日20：55发布","防灾减灾",
"33997","【深圳市取消暴雨预警】2020年09月15日21：30发布","防灾减灾",
"33998","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列五）",,
"34001","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列六）",,
"34003","【进企业】深圳市安全教育基地“五进”安全宣传","安全生产",
"34004","强化“一引领、三支撑”，压实安全生产属地责任","安全生产",
"34005","以事故为警醒—龙岗区迅速开展瓶装燃气安全隐患排查整治行动",,
"34007","广东省安全生产“一线三排”实施指南","工贸安全|监管监察",
"34008","男子骑车过路口，执勤民警却看傻眼","交通安全",
"34009","两期六天！2020年度福田区三防应急救援队伍水域救援能力培训正式开训！",,
"34010","河南一民房倒塌致2死3伤，疑因液化气罐爆燃所致","生活用火安全|消防安全",
"34012","梦，江湖","安全生产|应急管理",
"34013","半夜超市起火，老板娘做了一件事，差点送命！","消防安全|生活用火安全",
"34014","时隔一年，男子同时同地被同一交警查获酒驾……","交通安全",
"34015","女子首次坐飞机，误开应急舱门被拘","公共安全",
"34016","贪小便宜舍了性命！路边捡蒜遭掩压，8死11伤！","交通安全|安全生产",
"34017","暴雨来袭，如何防御","防灾减灾",
"34018","聚焦在建工地 力保福田安全——黄伟区长“四不两直”督导检查在建工地安全监管工作",,
"34027","香港第三波疫情已受控，新冠疫苗何时能打","公共安全",
"34031","近期发生多起有限空作业事故！一图带你读懂有限空间作业的正确操作方式~",,
"34039","大雨中骑电动车，广州一男子触电倒地昏迷！",,
"34041","【深圳市台风白色预警】2020年09月16日15：00发布","防灾减灾",
"34044","压事故 除隐患——区应急管理系统持续开展第34次安全生产“平安夜查”行动（9月14日）",,
"34045","test",,
"34051","龙华区全面部署特别防护期安全生产工作",,
"34052","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列一）",,
"34053","习近平关于安全生产重要论述的六大要点和十句“硬话”",,
"34054","秋雨来袭！应对“水患” 这些知识请收好",,
"34055","台风“红霞”生成！深圳发布台风白色预警",,
"34056","喝水喝到突然意识模糊，抢救4小时！水虽好，可不要贪杯！",,
"34057","对隐患不手软！龙岗区应急管理局责令这家粉尘企业停产整顿",,
"34060","“红霞”来了，台风知识了解一下","防灾减灾","台风"
"34061","龙岗区委书记张礼卫率队检查疫情防控：持续用力抓紧抓实抓细常态化疫情防控工作",,
"34063","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列七）",,
"34065","盐田区应急管理局深入工业园区 开展应急安全宣传进企业活动",,
"34066","龙岗区进入安全生产特别防护期！",,
"34067","省三防办、省厅持续研判台风“红霞”","防灾减灾",
"34068","9月16日深圳新增2例无症状感染者","公共安全","疫情"
"34069","4死1伤！又是中毒！","特种作业|安全生产",
"34070","4死1伤！山西发生一起急性中毒事故",,
"34072","24楼飞下哑铃、推车...罗湖醉酒男子高空抛物被刑拘","罗湖区|公共安全",
"34073","吓人！俩“熊孩子”在家玩火，结果家被烧没了","生活用火安全",
"34074","关于新冠肺炎疫苗，你想知道的都在这里！","公共安全",
"34075","【大风提示】2020年09月17日14：38发布","防灾减灾",
"34076","关于公开深圳市安全培训机构登记信息（第十六批）的公告",,
"34077","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列八）",,
"34079","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列二）",,
"34080","【深圳市大风蓝色预警】2020年09月17日14：55发布","防灾减灾",
"34081","还有3天，“强安杯”了解一下？","应急管理",
"34083","事故现场切莫围观！已有8人身亡，11人受伤",,
"34092","男子将拖把放电梯门口 酿成大祸","公共安全",
"34093","路面突现大洞！深圳闹市区一地面发生塌陷，路过请绕行",,
"34094","24楼丢下哑铃、铁饼、推车！高空抛物已入刑，还有人这样做！",,
"34095","“核”我一起进校园！大鹏新区核应急宣传活动再出发",,
"34096","罗湖区应急管理局深入社区开展防灾减灾宣传活动 联动社区共建安全罗湖",,
"34098","【深圳市分区暴雨黄色预警】2020年09月18日00：20发布","防灾减灾",
"34099","【深圳市取消分区暴雨预警】2020年09月18日02：05发布","防灾减灾",
"34100","强化部门联动，以演练备实战！深汕合作区顺利参演2020年全市三防实兵实装拉动",,
"34101","市应急管理局赴大鹏新区开展自然灾害防治地方立法调研",,
"34102","家中起火，姐姐带9岁弟弟淡定自救","居家安全|消防安全",
"34104","@租户，这些出租屋隐患千万要留意！","消防安全",
"34105","【深圳市取消台风白色预警信号】2020年09月18日10:25发布","防灾减灾",
"34106","如何正确使用电动车？","电动车电池安全|消防安全",
"34107","应急科普丨房子是租来的，安全是自己的，这些出租屋隐患千万要留意！",,
"34108","“强安杯”安全知识竞赛操作说明",,
"34109","出重拳、亮实招！省厅开展特种作业操作证专项治理行动","监管监察",
"34110","3人被烫伤！这东西吃起来一定要注意！","食品安全",
"34111","安全知识：企业管理人员安全教育培训教材（仅供参考）",,
"34112","女孩蹲地整理书包，小车从其身上碾过...","交通安全",
"34113","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列三）",,
"34114","恰似援兵天降，犹如蛟龙腾海！福田区应急管理局开展安全应急分队水上救援能力培训检验性实操演练",,
"34115","决战倒计时，2天后举行","防灾减灾|应急管理|安全生产",
"34117","云课堂预告！就在下周二！3位“安全大咖”带你学习3个安全专题知识",,
"34118","在福田区发现安全隐患怎么办？来这里，一键随手举报！",,
"34121","【安全日历】发生火灾不能乘坐电梯，原来是因为……",,
"34122","首届“强安杯”安全知识竞赛活动， 等你来战！",,
"34128","【深圳市降雨提示】2020年09月18日16：25发布","防灾减灾",
"34133","致4死1伤，硫化氢到底是什么！",,
"34134","半月泥头车事故102宗！这10家企业被点名曝光",,
"34135","“学习强安”积分商城上新了，赶紧来薅羊毛！",,
"34137","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列九）",,
"34139","海山街道田东社区开展消防安全宣传进学校活动",,
"34140","海山街道海涛社区联合消防救援部门开展双节前消防安全隐患排查专项行动",,
"34141","盐田区开展公开水域应急救援技能培训活动 提高应急救援作战水平",,
"34142","海山街道海涛社区联合消防救援部门开展“回头看”消防安全隐患整改行动",,
"34143","海山街道社区开展消防安全进社区宣传活动",,
"34144","海山街道鹏湾社区开展既有建筑幕墙安全隐患排查",,
"34145","海山街道召开事故灾难类安全风险评估工作再部署会议",,
"34146","海山街道海涛社区持续开展燃气安全隐患专项排查行动",,
"34147","【深圳市分区暴雨黄色预警】2020年09月19日02：50发布","防灾减灾",
"34148","​【深圳市取消分区暴雨预警】2020年09月19日05：05发布","防灾减灾",
"34149","李克强对森林草原防灭火工作作出重要批示 ","应急管理|防灾减灾",
"34150","你家厨房安全吗？厨房“潜伏”了这些安全隐患","居家安全|生活用火安全|消防安全",
"34151","逃生、醉驾、泥头车盲区，总有一款体验让你印象深刻","公共安全|消防安全|交通安全",
"34154","​【深圳市发布分区暴雨黄色、分区大风蓝色预警】2020年09月19日13：50发布","防灾减灾",
"34155","【深圳市发布暴雨黄色、大风蓝色预警】2020年09月19日14：40发布","防灾减灾",
"34156","​【深圳市取消中西部地区暴雨预警】2020年09月19日16：25发布","防灾减灾",
"34157","送走台风，又迎来南风和东风！未来一周深圳多雷阵雨",,
"34158","【深圳市取消分区暴雨黄色、取消分区大风蓝色预警】2020年09月19日18：20发布","防灾减灾",
"34160","【深圳市取消雷电预警】2020年09月20日05:45发布","防灾减灾",
"34162","【深圳市雷电预警】2020年09月20日13：30发布","防灾减灾",
"34163","后怕！北京一公司组织团建，40人被困深山！","公共安全|应急救援",
"34164","【深圳市取消雷电预警】2020年09月20日17:40发布","防灾减灾",
"34166","【深圳市分区雷电预警】2020年09月21日06:15发布","防灾减灾",
"34168","系紧游乐设施“安全带”","公共安全",
"34169","【吸取事故教训，迅速行动】海山街道海涛社区开展用电用气安全隐患排查行动",,
"34170","海山街道鹏湾社区出租房安全隐患排查整治",,
"34172","遇到山火如何跑？大鹏新区“森林防火宣传月”活动来啦",,
"34173","“强安杯”安全知识竞赛来啦，欢迎参与~",,
"34174","内含攻略 | “强安杯”正式上线！","安全生产",
"34177","落实不过夜，安全抓在前——舒毓民常委主持召开福田区安全生产紧急视频调度会",,
"34178","女子从高空索道坠落身亡，网红景点又出事故","公共安全",
"34180","【小型经营性场所火灾警示片】养生店5死4伤，烧烤店7死","消防安全",
"34183","给老虎送餐？女孩坐车顶游览野生动物园！","公共安全",
"34184","【深圳市雷电预警】2020年09月21日11:15发布","防灾减灾",
"34185","炼水域救援精兵，展综合应急风采！福田区水上应急救援实战演练阅出“精彩”！",,
"34186","安全半月谈 | 预防基坑工程施工安全事故","高危行业",
"34188","【深圳市分区暴雨黄色预警】2020年09月21日13:00发布","防灾减灾",
"34189","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列四）",,
"34190","筑牢假期“防火墙”！罗湖区深入林区开展“森林防火宣传月”活动",,
"34192","普法进行时 | 应急避难场所分类吗？",,
"34193","被追尾！一运载32吨汽油添加剂槽罐车在高速上起火！",,
"34194","应急科普| 谨记烧伤急救“四字诀”",,
"34195","【深圳市取消分区暴雨预警】2020年09月21日14:20发布","防灾减灾",
"34196","市应急管理局督导检查我区“安全生产执法质量年”活动及企业主要负责人履职情况专项执法工作",,
"34197","火势蔓延至楼顶！深圳城中村突发火灾，官方通报原因","消防安全|龙华区",
"34198","今日开赛！首届“强安杯”安全知识竞赛来啦",,
"34201","凌晨突发爆燃！居民22楼坠亡！深圳每家每户都在用","生活用火安全",
"34205","安全半月谈 | 预防基坑工程施工安全事故","高危行业",
"34206","安全半月谈 | 天花板内作业谨防触电","电气安全|消防安全",
"34208","安全半月谈 | 触电事故多发，作业更需谨慎！","电气安全","触电事故"
"34210","安全半月谈｜建筑工地高处坠落事故，何时休？","高危行业|安全生产",
"34211","习近平总书记  关于应急管理、安全生产、防灾减灾救灾  重要讲话、批示指示摘编  （系列十）",,
"34216","一女子从网红游乐项目坠落身亡，国庆出游请注意……",,
"34217","安全福利！名额有限，快来get工伤预防免费培训",,
"34218","强对流天气要防范哪些灾害？","防灾减灾",
"34219","吸取教训，烧烤店安全隐患大排查",,
"34220","海山街道田东社区开展“中秋国庆”双节前安全隐患大排查大整治行动",,
"34221","海山街道海涛社区开展“三小场所”风险评估调查",,
"34222","广东消防上演危崖峡谷直升机悬停“救人”","应急救援",
"34223","@所有学生 寝室正确防火姿势，你get了吗？","消防安全",
"34224","黄明：坚持问题导向把工作一抓到底，确保安全形势稳定","应急管理",
"34225","高层建筑发生火灾逃生指南请收好","消防安全",
"34226","加强央地合作，共同推进应急物资保障体系建设","应急管理",
"34227","惊险！钱塘江潮水涌上行车道，7辆车受损","水上安全",
"34228","市应急管理局专家到福田区开展第二轮工贸企业使用危险化学品安全专项整治抽查工作",,
"34229","关于印发《广东省2020年森林防火“宣传月”暨秋冬森林防火宣传教育工作方案》的通知","防灾减灾",
"34230","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列五）",,
"34231","关于开展特种作业操作证专项治理行动的通知","特种作业",
"34232","“三检三对”“三一三全”，想做好班组管理，记住这几条就够了！",,
"34233","深圳市开展2020年三防实兵实装拉动演练","应急救援",
"34234","【第十六批】关于公开深圳市安全培训机构登记信息的公告","特种作业",
"34235","安全半月谈丨莫让洞口成为吞噬生命的黑洞","高危行业",
"34236","暴雨中，龙华区危化品企业应急抢险大比武",,
"34243","深圳一城中村突发火灾，火势蔓延至楼顶！这个火灾高发地，你家也有！",,
"34244","​安全半月谈丨电动二轮车充电引发的火灾，如何避免？","电动车电池安全",
"34246","高速小车侧翻，三人被困，看盐田铁骑三分钟施救！",,
"34247","安全半月谈丨血腥的机械伤害事故，何时休？",,
"34248","安全半月谈丨人员密集场所火灾如何预防？",,
"34249","距离2020年结束还有100天，努把力我能翻盘！","应急管理",
"34250","安全半月谈丨危险货物运输事故如何预防？",,
"34251","安全半月谈丨小心！货车尾板也能出人命",,
"34252","安全半月谈丨药不能乱吃 ，居家防疫需注意！",,
"34255","第12号台风“白海豚”生成！本周坪山最新天气→",,
"34256","科普！大风天气安全注意事项",,
"34257","【天气预警】2020年09月23日08:00发布","防灾减灾",
"34258","习近平总书记  关于应急管理、安全生产、防灾减灾救灾  重要讲话、批示指示摘编  （系列十一）",,
"34261","海山街道为“三小场所”电气线路“把诊问脉”全力整治电气安全隐患",,
"34262","海山街道田东社区开展火灾高风险区域整治前期评估专项工作",,
"34263","居民楼倒塌已致45人伤亡！建筑坍塌这样自救！",,
"34265","海山街道海涛社区联合开元国际物业（东和大厦）开展双节前消防安全隐患排查行动",,
"34266","深圳一烧烤店突发火灾，现场浓烟滚滚",,
"34268","启动联合突击检查，筑牢“双节”安全防线","安全生产|应急管理",
"34269","第12号台风 “白海豚”生成！“雷雨模式”将继续","防灾减灾",
"34270","渔船触礁14人弃船逃生，4人遇难，4人失联","水上安全|应急救援",
"34271","景区游玩消防安全注意事项","消防安全",
"34276","生命重于泰山责任义不容辞 学习贯彻习近平总书记安全生产重要论述的体会（中国安全生产科学研究院刘铁民）",,
"34277","生命重于泰山责任义不容辞 学习贯彻习近平总书记安全生产重要论述的体会（中国安全生产科学研究院刘铁民）",,
"34278","学习习近平总书记关于安全生产重要论述《生命重于泰山》",,
"34280","刑拘！连续三次疯狂别车，还往后车前挡风玻璃泼奶茶","交通安全",
"34281","鼓舞士气，提振人心——新区领导带队赴疫情防控境外输入工作专班开展节前慰问",,
"34282","再动员、再部署，新区深入推进落实特别防护期安全生产和森林防火工作",,
"34283","干货满满！福田区零星作业、危险化学品和有限空间安全专题知识培训圆满完成",,
"34284","燃！福田区首届水上应急救援实战演练大片！",,
"34285","2020年9月特种作业实操考试安排（9月11日~9月30日）",,
"34286","新国标：安全标志使用原则与要求（2020版）发布","政策规定",
"34287","火热进行中！@福田人，首届“强安杯”安全知识竞赛已开赛，你参加没？",,
"34288","新标准《安全标志使用原则与要求》︱四色安全标志，一文看明白！","政策规定",
"34289","安全半月谈 | 有机溶剂清洗能力强，使用不慎“易燃易爆炸”","应急管理|特种作业",
"34290","【深圳市雷电预警】2020年09月23日15:40发布","防灾减灾",
"34291","龙华区2020年度危险化学品监管执法培训班（第一期）完满结束",,
"34292","暴雨中，龙华区危化品企业应急抢险大比武",,
"34293","以案学法|每周一案——未建立事故隐患排查治理制度",,
"34294","习近平总书记  关于应急管理、安全生产、防灾减灾救灾  重要讲话、批示指示摘编  （系列十二）",,
"34296","龙岗区为第一次全国自然灾害综合风险普查“开先路”！",,
"34300","可能面临28天隔离观察！国庆中秋假期这些地方别去了！",,
"34305","安全半月谈 | 塔式起重机事故如何预防？","高危行业|安全生产",
"34307","海山街道开展安全培训“进企业”活动",,
"34308","学习习近平总书记关于安全生产重要论述《生命重于泰山》",,
"34309","应急管理部:严防汛期安全风险引发生产安全事故",,
"34312","【深圳市分区暴雨黄色预警升级为橙色】2020年09月23日21:05发布","防灾减灾",
"34313","【深圳市取消分区暴雨黄色和雷电预警】2020年09月23日23：30发布","应急管理|防灾减灾",
"34315","【深圳市取消分区暴雨黄色和雷电预警】2020年09月23日23:30发布","防灾减灾",
"34316","【深圳市宝安区、光明区分区暴雨黄色预警升级为橙色】2020年09月24日05:55发布","防灾减灾",
"34317","【深圳市取消分区暴雨黄色、取消分区暴雨橙色预警】2020年09月24日06:50发布","防灾减灾",
"34318","@工贸企业，“双节”来了，安全管理工作怎么做？","工贸安全",
"34319","以文化人！坪山应急专属logo来了",,
"34320","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列六）",,
"34321","太形象了！反违章漫画大合集，安全培训直接拿去用！",,
"34323","景区游玩消防安全注意事项",,
"34324","凌晨，居民楼突然倒塌，已致39死……建筑坍塌这样自救！",,
"34325","“强安杯”安全知识竞赛操作指南全攻略.mp4",,
"34328","判了！电动车充电引发火灾致6死，两被告领刑……",,
"34329","省、市、区三级召开中秋国庆安全生产工作部署会",,
"34332","市安委办副主任杨金山召开“首届‘强安杯’安全知识竞赛推进会”视频会议",,
"34333","8岁男孩路边随手一摸，突然倒地身亡","电气安全",
"34334","宝安区应急管理局开展《习近平谈治国理政》第三卷专题学习活动",,
"34335","商场内表演烟花？滋你！","公共安全|消防安全",
"34336","开展“奋战一百天，全年保平安”安全生产攻坚行动","安全生产",
"34337","市应急管理局到宝安区开展室外应急避难场所建设任务核查工作",,
"34338","深圳市宝安区2020年度森林消防队伍业务培训（第二期）正式开班",,
"34339","中秋、国庆节前企业“停工停产” 安全小贴士",,
"34340","警示！违规动火教育片","安全生产",
"34341","什么情况下用人单位须承担责任？罗湖区民法典《小讲堂》持续为你答疑解惑！",,
"34343","加入罗湖区战队！答题赢积分兑换奖品吧！",,
"34345","这些电梯安全须知，你知道吗？","公共安全",
"34346","启动应急预案培训和桌面推演，大鹏新区危化品生产安全事故应急演练预备中",,
"34347","宿舍煮火锅？消防员顺着网线找来了→","校园安全|消防安全",
"34348","或面临28天隔离观察，假期出游别去这些地方","公共安全",
"34349","安全半月谈 | 警惕！梯子使用不当会成伤人“凶器”","安全生产",
"34350","安全半月谈 | 过年期间谨防火灾，平安过个开心年","消防安全",
"34355","附件1：特种作业操作证真伪查询指引","工贸安全",
"34356","关于加强国庆中秋“双节”期间工贸行业安全生产工作的通知","工贸安全",
"34357","关于印发特种作业操作证专项治理行动工作方案的通知","特种作业",
"34358","附件2：生产经营单位特种作业管理情况自查表","特种作业",
"34359","附件3：特种作业操作证相关违法行为处罚依据及标准","特种作业",
"34360","附件4：深圳市特种作业操作证专项治理行动工作情况统计表","特种作业",
"34361","安全半月谈 | 它是“小可爱”，若不慎也成“杀人”机器","安全生产|特种作业",
"34362","8岁男孩倒地身亡，竟因随手一摸！还有这些隐藏的 “儿童杀手”……",,
"34363","福利！@坪山er，快来参加首届“强安杯”安全知识竞赛",,
"34364","系紧游乐设施“安全带”",,
"34365","旅游行业消防安全提示",,
"34366","天干物燥，森林防火“十不要”，务必记牢！",,
"34367","“政+企”大联动！龙岗区开展重点企业（电镀企业）应急演练！",,
"34369","2万余人线上学习！龙岗区着力破解工贸企业使用危化品安全专项整治工作梗阻难题！",,
"34371","常见的八大消防误区","消防安全",
"34372"," 以“五严”措施推进危险化学品重大风险防控工作","安全生产|应急管理",
"34373","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列七）",,
"34377","关于危化品安全知识，你了解多少？","高危行业",
"34378","10月1日起实施！深圳发布地方新标准，事关危化品！",,
"34379","2020年广东“安全生产南粤行”活动正式启动","应急管理",
"34380","妈妈骑电动车多项违法，7岁儿子被撞飞","交通安全",
"34381","痛心！幼儿园接送车与货车相撞，4死9伤","交通安全|校园安全",
"34382","揪心！油罐车爆炸，至少23人死亡","高危行业|交通安全|安全生产",
"34383","盐田区组织开展应急执法依法专题培训 增强执法人员应急执法能力",,
"34384","吸引辖区450余人参与 盐田区工伤预防宣教系列活动圆满结束",,
"34385","秋天的第一份安全提醒","消防安全|公共安全",
"34386","最新通报！青岛涉冷链阳性样本51份！","应急管理",
"34387","“强安杯”企业风采展示（09.21-09.25）","应急管理",
"34388","第一周企业风采 | No.1：中海油深圳电力有限公司","应急管理",
"34389","第三周企业风采 | No.8：深圳市蛇口保安服务有限公司","应急管理",
"34390","第一周企业风采 | No.3：比亚迪汽车工业有限公司（坪山）","应急管理",
"34391","第一周企业风采 | No.4：深圳市国保安防保安服务有限公司","应急管理",
"34392","【安全日历】雨天，电线恰巧落在离自己很近的地面上，还能继续走吗？",,
"34393","第一周企业风采 | No.6：深圳市海普瑞药业集团股份有限公司",,
"34394","“强安杯”赛事周报（9月21日-9月25日）","应急管理",
"34395","华为松山湖实验基地一栋大楼突发火灾，现场浓烟滚滚","消防安全",
"34396","吃烧烤差点丧命！竟是因为…",,
"34398","深圳外卖员赶时间一个操作撑裂电梯！电梯：我太南了……",,
"34399","带孩子逛商场，这几处安全隐患要注意！",,
"34400","绷紧“防火”弦 关注工厂消防安全！",,
"34401","第二十二届高交会应急安全科技展于11月亮相，现可预报名","应急管理",
"34402","情况通报——华为一在建工地起火","消防安全"," "
"34403","压事故 除隐患——区应急管理系统持续开展第43次安全生产“平安夜查”行动（9月23日）",,
"34404","龙华区召开国庆中秋假期新冠肺炎疫情防控和安全生产工作部署会议",,
"34405","龙华区安委办召开触电及空调安装维修事故警示会",,
"34406","市应急管理局与新桥街道深入开展“一对一”挂点联系工作",,
"34408","新区安委办开展葵涌综合市场提升工程施工安全隐患整治现场督办",,
"34409","警情续报——华为一在建工地起火","消防安全|安全生产",
"34413","惨痛！居民楼凌晨倒塌，已致45人伤亡","公共安全",
"34414","“跨栏”式横穿马路，结果卡住了......","交通安全",
"34420","专家组队、全面检查，大鹏新区应急管理局开展油气库企业节前安全检查工作",,
"34421","作战一张“图”！龙岗区挂图作战打造“普查”工作有形抓手！",,
"34423","出游必备消防安全图","消防安全",
"34424","龙岗人注意！这些月饼都是假的，还可能是化粪池边生产的！",,
"34426","北京地铁站发生猝死事件！","应急救援",
"34427","槽罐车发生腐蚀性液体泄漏，应急、消防等单位联合妥善处置","交通安全|宝安区",
"34428","节前必看！安全生产这10个阶段“易出事故”！",,
"34429","行拘五日！为拍视频，两少年逼停列车","交通安全",
"34430","5死10伤！辽宁先达""2·11""事故警示教育片","安全生产|应急管理",
"34431","秋天第一部消防公益大片，你看了吗？","居家安全|消防安全",
"34432","节前必看！安全生产这10个阶段“易出事故”！",,
"34433","《深圳市特种作业操作证专项治理行动工作方案》已印发！",,
"34434","为了省时间，福田一外卖小哥把电梯“炸”了","公共安全|福田区",
"34435","盐田区应急管理局党组第一时间集中学习研讨《习近平谈治国理政》",,
"34436","情况通报——华为一在建工地起火！","安全生产",
"34437","情况通报——华为一在建工地起火！","安全生产",
"34438","北京地铁站发生猝死事件！如何抓住“黄金4分钟”挽救生命？",,
"34439","安全半月谈 | 近一个月内，深圳有4名工人因这种车辆身亡！","交通安全",
"34441","深入城中村科普防灾减灾安全知识 罗湖区2020年三防、地质灾害及地面坍塌防治宣传活动顺利举行",,
"34443","习近平总书记  关于应急管理、安全生产、防灾减灾救灾  重要讲话、批示指示摘编  （系列十三）",,
"34445","习近平总书记  关于应急管理、安全生产、防灾减灾救灾  重要讲话、批示指示摘编  （系列十四）",,
"34447","重庆一煤矿发生一氧化碳超限事故，16人遇难","安全生产|事故调查|应急救援",
"34449","压事故 除隐患——区应急管理系统持续开展第46次安全生产“平安夜查”行动（9月26日）",,
"34450","以案学法|每周一案——未建立健全特种作业人员档案",,
"34451","危险！深圳一槽罐车31吨退锡水泄漏，9台消防车紧急出动",,
"34452","暴恐音视频千万别碰！已有网民被判刑",,
"34453","地震安全教育讲座开讲啦！！！","罗湖区|公共安全",
"34454","【事故警示】又有两人死亡！如何避免有限空间“吃人”！",,
"34456","基地讲座又双叒叕来袭","罗湖区",
"34457","区安委办节前集中督导检查辖区安全生产",,
"34459","【零散工程专项整治巡查】海山街道海涛社区开展“双节”前零散工程安全隐患排查  （9月27日）",,
"34460","海山街道田东社区持续开展节前隐患排查及火灾高风险区域安全评估工作",,
"34461","严防死守，坚决打赢“双节”安全防范保卫战","应急管理",
"34462","黄明：针对节日特点加强安全防范，切实维护人民群众生命财产安全和社会稳定","应急管理",
"34463","习近平总书记关于应急管理、安全生产、防灾减灾救灾重要讲话、批示指示摘编（系列八）",,
"34464","建筑坍塌逃生自救指南","公共安全",
"34465","女子参加越野赛失联，4天后在树杈上被发现…","应急救援",
"34466","节前事故敲警钟！重庆一煤矿一氧化碳超限致16人死亡",,
"34467","也太方便了吧！遇到安全隐患，来这里一键拍照举报！",,
"34468","关于狂犬病的这些真相，你或许还未了解……","公共安全",
"34469","有奖 | 强安不放假，陪你过双节！","应急管理",
"34470","应急科普丨出游必备消防安全图",,
"34471","一图了解安全生产责任保险",,
"34472","【微科普】建筑坍塌逃生自救指南",,
"34473","安全半月谈 | 女子长发卷入和面机，挣扎157秒后不幸身亡！","安全生产",
"34474","连吃2天炸鸡后腹痛被送ICU！血里全是油脂","食品安全",
"34475","课堂上老师一个动作，4名学生局部Ⅱ度烧伤！","校园安全",
"34476","双节将至，“强安杯”陪你过节","应急管理",
"34477","危险化学品中间仓库安全管理规范",,
"34478","危险化学品储存柜安全技术要求及管理规范",,
"34479","槽罐车发生腐蚀性液体泄漏，应急、消防等单位联合妥善处置",,
"34480","""华为实验室起火3人死亡""！事故原因竟然是？官方回应来了！",,
"34481","罗湖区应急管理局探索开展“数字党建”安全和应急主题党日活动",,
"34483","市消防救援支队扎实推进电动自行车消防安全综合治理工作","电动车电池安全|消防安全",
"34484","福田区全面开展夏季消防安全检查行动","福田区|消防安全",
"34485","罗湖区积极借力科技手段提升地面坍塌防治能力","罗湖区|应急管理",
"34486","盐田区深入推进安全生产专项整治三年行动","盐田区|应急管理",
"34487","南山区多措并举全力确保水上通航环境安全","南山区|应急管理",
"34490","提素质 强队伍—深圳市宝安区2020年度森林消防队伍业务培训圆满结束",,
"34492","宝安区组织参加全市安全生产特别 防护期视频调度会（9月27日）",,
"34494","多部门联合开展节前督查检查，勠力同心护森林特别防护期",,
"34496","宝安区组织参加全市安全生产特别 防护期视频调度会（9月28日）",,
"34498","宝安区开展工矿商贸企业应急实操培训",,
"34500","安全过节的十八般武艺",,
"34501","一家6口身陷火海，皆因电动车违规充电引起！",,
"34502","出游必备消防安全图",,
"34503","预防儿童高空坠落",,
"34504","梅沙街道主要领导“双节”前检查辖区安全生产工作",,
"34505","盐田区领导集中开展特别防护期暨中秋、国庆节节前安全生产等大检查",,
"34506","海山街道田东社区开展中秋国庆双节前消防安全夜查行动",,
"34507","海山街道鹏湾社区联合区消防大队开展双节前消防安全夜查专项行动",,
"34510","梅沙街道集中开展双节前消防夜查行动",,
